ID1	ID2	MeSH Tree Number 1	MeSH Tree Number 2
D000077195	D006258	C04.588.443.177	C04.588.443
D000077207	D002813	C04.557.450.565.280.140	C04.557.450.565.280
D000077207	D002813	C04.557.450.795.300.140	C04.557.450.795.300
D000077216	D010051	C12.050.351.937.418.685.350	C12.050.351.937.418.685
D000077216	D010051	C19.391.630.705.350	C19.391.630.705
D000077216	D002277	C04.557.470.200.295	C04.557.470.200
D000077216	D010051	C12.900.418.685.350	C12.900.418.685
D000077216	D010051	C19.344.410.199	C19.344.410
D000077216	D010051	C04.588.322.455.199	C04.588.322.455
D000077216	D010051	C12.100.250.056.630.705.350	C12.100.250.056.630.705
D000077216	D010051	C12.050.351.500.056.630.705.350	C12.050.351.500.056.630.705
D000077260	D012816	C23.888.900	C23.888
D000077273	D000231	C04.557.470.200.025.085.612	C04.557.470.200.025.085
D000077273	D013964	C04.588.443.915.400	C04.588.443.915
D000077273	D013964	C04.588.322.894.400	C04.588.322.894
D000077273	D013964	C19.874.788.400	C19.874.788
D000077273	D013964	C19.344.894.400	C19.344.894
D000077274	D009303	C09.775.549.650.500	C09.775.549.650
D000077274	D009303	C09.775.350.650.500	C09.775.350.650
D000077274	D009303	C09.647.710.650.500	C09.647.710.650
D000077274	D009303	C04.588.443.665.710.650.500	C04.588.443.665.710.650
D000077274	D009303	C07.550.745.650.500	C07.550.745.650
D000077274	D002277	C04.557.470.200.623	C04.557.470.200
D000077274	D009303	C07.550.350.650.500	C07.550.350.650
D000077275	D005357	C05.116.099.708.375.286	C05.116.099.708.375
D000077277	D004938	C06.405.249.205.500	C06.405.249.205
D000077277	D002294	C04.557.470.700.400.565	C04.557.470.700.400
D000077277	D002294	C04.557.470.200.400.330	C04.557.470.200.400
D000077277	D004938	C04.588.274.476.205.500	C04.588.274.476.205
D000077277	D004938	C06.405.117.430.500	C06.405.117.430
D000077277	D004938	C06.301.371.205.500	C06.301.371.205
D000077277	D004938	C04.588.443.353.500	C04.588.443.353
D000077295	D001745	C12.950.829.867	C12.950.829
D000077295	D001745	C12.200.777.829.893	C12.200.777.829
D000077295	D059411	C23.888.942.343.790	C23.888.942.343
D000077295	D001745	C12.050.351.968.829.867	C12.050.351.968.829
D000077299	D003428	C23.550.291.875.500.500	C23.550.291.875.500
D000077299	D011014	C08.730.610.300	C08.730.610
D000077299	D011014	C08.381.677.300	C08.381.677
D000077299	D011014	C01.748.610.300	C01.748.610
D000077299	D003428	C01.248.250	C01.248
D000077342	D008193	C01.150.252.400.794.352.250.850	C01.150.252.400.794.352.250
D000077342	D008193	C01.150.252.400.536.850	C01.150.252.400.536
D000077342	D008193	C01.920.930.513.850	C01.920.930.513
D000077342	D000094025	C23.550.291.500.829.500	C23.550.291.500.829
D000077428	D030342	C16.320.314	C16.320
D000077428	D009190	C15.378.190.625.265	C15.378.190.625
D000077684	D011129	C10.668.829.800.750.150	C10.668.829.800.750
D000077684	D009408	C10.668.829.550.350	C10.668.829.550
D000077733	D001327	C20.111.572	C20.111
D000077765	D015785	C11.270.151	C11.270
D000077765	D012164	C11.768.216	C11.768
D000077777	D009372	C17.300.680.770	C17.300.680
D000077777	D006393	C04.557.645.380.500	C04.557.645.380
D000077777	D009372	C04.557.450.565.545	C04.557.450.565
D000077779	D010190	C04.588.274.761.875	C04.588.274.761
D000077779	D010190	C06.689.667.812	C06.689.667
D000077779	D018299	C04.557.470.615.665	C04.557.470.615
D000077779	D010190	C06.301.761.875	C06.301.761
D000077779	D010190	C19.344.421.875	C19.344.421
D000077779	D010190	C04.588.322.475.875	C04.588.322.475
D000077962	D001836	C23.888.144.243.463	C23.888.144.243
D000078064	D015430	C23.888.144.243.926.500	C23.888.144.243.926
D000079262	D011248	C12.050.703.417	C12.050.703
D000079262	D009765	C23.888.144.699.500.125	C23.888.144.699.500
D000079262	D009765	C18.654.726.750.500.633	C18.654.726.750.500
D000079263	D007239	C01.918	C01
D000079426	D007239	C01.920	C01
D000079524	D019966	C25.775.643	C25.775
D000079562	D005767	C06.405.609	C06.405
D000079689	D003248	C23.888.821.150.500	C23.888.821.150
D000079689	D000079524	C25.775.643.250	C25.775.643
D000079690	D011183	C23.550.767.831	C23.550.767
D000079822	D009362	C23.550.727.650.280	C23.550.727.650
D000079822	D009362	C04.697.650.280	C04.697.650
D000080038	D003330	C14.280.400.210.125	C14.280.400.210
D000080038	D003330	C16.131.240.400.210.125	C16.131.240.400.210
D000080038	D003330	C14.240.400.210.125	C14.240.400.210
D000080039	D006330	C16.131.240.400.975	C16.131.240.400
D000080039	D006330	C14.240.400.990	C14.240.400
D000080039	D006330	C14.280.400.990	C14.280.400
D000080041	D014188	C14.280.400.915.150	C14.280.400.915
D000080041	D014188	C16.131.240.400.915.150	C16.131.240.400.915
D000080041	D014188	C14.240.400.915.150	C14.240.400.915
D000080203	D054990	C08.381.483.652.500.500	C08.381.483.652.500
D000080222	D004065	C16.131.314.778	C16.131.314
D000080222	D004065	C06.198.964	C06.198
D000080222	D003137	C06.130.120.250.640	C06.130.120.250
D000080223	D014581	C17.800.862.945.533	C17.800.862.945
D000080223	D002908	C23.550.291.500.360	C23.550.291.500
D000080223	D014581	C20.543.480.904.533	C20.543.480.904
D000080311	D010468	C10.597.606.762.850	C10.597.606.762
D000080322	D000080324	C11.250.105.250	C11.250.105
D000080322	D000080324	C11.941.160.241.250	C11.941.160.241
D000080323	D000080324	C11.941.160.241.500	C11.941.160.241
D000080323	D000080324	C11.250.105.500	C11.250.105
D000080324	D005124	C11.250.105	C11.250
D000080324	D015862	C11.941.160.241	C11.941.160
D000080343	D005141	C11.338.780	C11.338
D000080344	D015785	C16.320.290.612	C16.320.290
D000080344	D009901	C11.640.522	C11.640
D000080344	D015785	C11.270.588	C11.270
D000080344	D009421	C10.500.760	C10.500
D000080344	D009901	C10.292.700.463	C10.292.700
D000080344	D009421	C16.131.666.763	C16.131.666
D000080345	D015785	C11.270.238	C11.270
D000080345	D005124	C11.250.345	C11.250
D000080345	D012164	C11.768.337	C11.768
D000080345	D005124	C16.131.384.424	C16.131.384
D000080345	D015785	C16.320.290.352	C16.320.290
D000080346	D058437	C14.907.489.815.500	C14.907.489.815
D000080346	D000783	C14.907.055.908	C14.907.055
D000080346	D058437	C11.768.346.500	C11.768.346
D000080362	D015785	C11.270.872	C11.270
D000080362	D015785	C16.320.290.724	C16.320.290
D000080362	D008268	C11.768.585.439.339	C11.768.585.439
D000080363	D015866	C11.941.879.780.900.650	C11.941.879.780.900
D000080364	D002833	C11.941.879.780.900.300.489	C11.941.879.780.900.300
D000080364	D000080363	C11.941.879.780.900.650.500	C11.941.879.780.900.650
D000080364	D002833	C11.941.160.478.550	C11.941.160.478
D000080365	D002825	C11.768.773.348.500	C11.768.773.348
D000080365	D002825	C11.941.879.780.900.300.318.500	C11.941.879.780.900.300.318
D000080365	D002825	C11.941.160.478.400.500	C11.941.160.478.400
D000080365	D001327	C20.111.303	C20.111
D000080365	D000080363	C11.941.879.780.900.650.250	C11.941.879.780.900.650
D000080422	D009468	C10.668.416	C10.668
D000080422	D011782	C10.597.622.760.500	C10.597.622.760
D000080422	D011782	C23.888.592.636.786.500	C23.888.592.636.786
D000080424	D018746	C23.550.835.900.356	C23.550.835.900
D000080424	D018746	C23.550.470.790.250	C23.550.470.790
D000080443	D005910	C04.557.470.670.380.185	C04.557.470.670.380
D000080443	D005910	C04.557.580.625.600.380.185	C04.557.580.625.600.380
D000080443	D005910	C04.557.465.625.600.380.185	C04.557.465.625.600.380
D000080443	D020295	C10.228.140.211.500.100.500	C10.228.140.211.500.100
D000080443	D020295	C04.588.614.250.195.411.100.500	C04.588.614.250.195.411.100
D000080443	D020295	C10.551.240.250.400.200.500	C10.551.240.250.400.200
D000080445	D001249	C08.127.108.688	C08.127.108
D000080445	D029424	C08.381.495.389.250	C08.381.495.389
D000080445	D006967	C20.543.103	C20.543
D000080445	D001249	C08.381.495.108.500	C08.381.495.108
D000080445	D029424	C23.550.291.500.875.500	C23.550.291.500.875
D000080445	D001249	C08.674.095.688	C08.674.095
D000080485	D004827	C10.228.140.490.746	C10.228.140.490
D000080485	D003645	C23.550.260.322.812	C23.550.260.322
D000080842	D020969	C23.550.291.968	C23.550.291
D000080874	D019636	C10.574.928	C10.574
D000080874	D057165	C18.452.845.650	C18.452.845
D000080883	D004420	C12.050.703.420.288.364	C12.050.703.420.288
D000080888	D007859	C10.597.606.150.550.350	C10.597.606.150.550
D000080888	D007805	C23.888.592.604.150.500.550.500	C23.888.592.604.150.500.550
D000080888	D007805	C10.597.606.150.500.550.500	C10.597.606.150.500.550
D000080888	D007859	C23.888.592.604.150.550.350	C23.888.592.604.150.550
D000080902	D061221	C10.292.319.625.700.349.750	C10.292.319.625.700.349
D000080902	D061221	C10.292.200.875.750	C10.292.200.875
D000080902	D061221	C26.915.300.400.825.750	C26.915.300.400.825
D000080902	D061221	C10.900.300.218.775.750	C10.900.300.218.775
D000080902	D061221	C07.465.299.625.500.349.750	C07.465.299.625.500.349
D000080942	D006331	C14.280.778	C14.280
D000080942	D001930	C10.228.140.199.850	C10.228.140.199
D000080942	D015427	C23.550.767.877.625	C23.550.767.877
D000080942	D015427	C14.907.725.638	C14.907.725
D000080983	D001855	C15.378.190.223	C15.378.190
D000080984	D007232	C16.614.183	C16.614
D000080984	D000080983	C15.378.190.223.500	C15.378.190.223
D000081003	D008052	C18.452.584.563.824	C18.452.584.563
D000081003	D000080984	C15.378.190.223.500.875	C15.378.190.223.500
D000081003	D008068	C18.452.584.718.875	C18.452.584.718
D000081003	D010188	C06.689.276.500	C06.689.276
D000081011	D007238	C23.550.513.355.500	C23.550.513.355
